"organizer","month","year","date","count"
"Alice Austen","Jan",2013,Jan 2013,1
"Alice Austen","Feb",2013,Feb 2013,1
"Alice Austen","Mar",2013,Mar 2013,5
"Alice Austen","Mar",2015,Mar 2015,4
"Alice Austen","Mar",2016,Mar 2016,2
"Alice Austen","Mar",2017,Mar 2017,32
"Alice Austen","Apr",2013,Apr 2013,1
"Alice Austen","Apr",2014,Apr 2014,1
"Alice Austen","Apr",2015,Apr 2015,2
"Alice Austen","Apr",2016,Apr 2016,3
"Alice Austen","Apr",2017,Apr 2017,29
"Alice Austen","May",2014,May 2014,3
"Alice Austen","May",2015,May 2015,9
"Alice Austen","May",2016,May 2016,7
"Alice Austen","May",2017,May 2017,31
"Alice Austen","Jun",2014,Jun 2014,2
"Alice Austen","Jun",2015,Jun 2015,3
"Alice Austen","Jun",2016,Jun 2016,6
"Alice Austen","Jun",2017,Jun 2017,4
"Alice Austen","Jun",2018,Jun 2018,1
"Alice Austen","Jul",2013,Jul 2013,15
"Alice Austen","Jul",2015,Jul 2015,2
"Alice Austen","Jul",2016,Jul 2016,7
"Alice Austen","Jul",2017,Jul 2017,6
"Alice Austen","Jul",2018,Jul 2018,5
"Alice Austen","Aug",2014,Aug 2014,5
"Alice Austen","Aug",2015,Aug 2015,2
"Alice Austen","Aug",2016,Aug 2016,6
"Alice Austen","Aug",2017,Aug 2017,4
"Alice Austen","Aug",2018,Aug 2018,5
"Alice Austen","Sep",2013,Sep 2013,2
"Alice Austen","Sep",2014,Sep 2014,10
"Alice Austen","Sep",2015,Sep 2015,16
"Alice Austen","Sep",2016,Sep 2016,3
"Alice Austen","Sep",2017,Sep 2017,3
"Alice Austen","Sep",2018,Sep 2018,1
"Alice Austen","Oct",2013,Oct 2013,4
"Alice Austen","Oct",2014,Oct 2014,33
"Alice Austen","Oct",2015,Oct 2015,60
"Alice Austen","Oct",2016,Oct 2016,5
"Alice Austen","Oct",2017,Oct 2017,5
"Alice Austen","Oct",2018,Oct 2018,5
"Alice Austen","Nov",2013,Nov 2013,7
"Alice Austen","Nov",2014,Nov 2014,32
"Alice Austen","Nov",2015,Nov 2015,56
"Alice Austen","Nov",2016,Nov 2016,6
"Alice Austen","Nov",2017,Nov 2017,7
"Alice Austen","Nov",2018,Nov 2018,4
"Alice Austen","Dec",2013,Dec 2013,2
"Alice Austen","Dec",2014,Dec 2014,26
"Alice Austen","Dec",2015,Dec 2015,53
"Alice Austen","Dec",2016,Dec 2016,2
"Alice Austen","Dec",2017,Dec 2017,2
"Alice Austen","Dec",2018,Dec 2018,1
"Art & Antiquities","Jan",2013,Jan 2013,8
"Art & Antiquities","Jan",2014,Jan 2014,14
"Art & Antiquities","Jan",2015,Jan 2015,19
"Art & Antiquities","Jan",2016,Jan 2016,14
"Art & Antiquities","Jan",2017,Jan 2017,19
"Art & Antiquities","Jan",2018,Jan 2018,16
"Art & Antiquities","Feb",2013,Feb 2013,20
"Art & Antiquities","Feb",2014,Feb 2014,19
"Art & Antiquities","Feb",2015,Feb 2015,17
"Art & Antiquities","Feb",2016,Feb 2016,21
"Art & Antiquities","Feb",2017,Feb 2017,19
"Art & Antiquities","Feb",2018,Feb 2018,17
"Art & Antiquities","Mar",2013,Mar 2013,20
"Art & Antiquities","Mar",2014,Mar 2014,20
"Art & Antiquities","Mar",2015,Mar 2015,22
"Art & Antiquities","Mar",2016,Mar 2016,18
"Art & Antiquities","Mar",2017,Mar 2017,19
"Art & Antiquities","Mar",2018,Mar 2018,19
"Art & Antiquities","Apr",2013,Apr 2013,22
"Art & Antiquities","Apr",2014,Apr 2014,19
"Art & Antiquities","Apr",2015,Apr 2015,21
"Art & Antiquities","Apr",2016,Apr 2016,19
"Art & Antiquities","Apr",2017,Apr 2017,20
"Art & Antiquities","Apr",2018,Apr 2018,21
"Art & Antiquities","May",2014,May 2014,26
"Art & Antiquities","May",2015,May 2015,21
"Art & Antiquities","May",2016,May 2016,35
"Art & Antiquities","May",2017,May 2017,25
"Art & Antiquities","May",2018,May 2018,31
"Art & Antiquities","Jun",2013,Jun 2013,4
"Art & Antiquities","Jun",2014,Jun 2014,22
"Art & Antiquities","Jun",2015,Jun 2015,21
"Art & Antiquities","Jun",2016,Jun 2016,24
